,text,label
30,و الله ميحشم هادا الشايب كي شغل هوا بوقوص وشكون إلى حتقبل بيه هادا,0
31,واش هذ ا البرنامج دارلي المشاكل مع خطيبي ملي شاف الحصة وهو يحلف لوكان او لكان نلقاك دخلو الوسواس ودخلنا ف دواس كوبا تليفون وخلاني لهلا تربحكم,0
32,للاسف بنتها ضحية,1
33,انا احبكي سيدة راشدي ولا كن انا ضدكي على ارتداء الحجاب انه فرض وليس اختياري على المسلم,2
34,الجزائر ممحية خلوق,1
35,لي يهدر هذا ربي يحرقو بجمرة جهنم من صوتو باين شيطان كذاب,0
36,الاعلام دائما موجه و يخدم اجندات ...لو كان علي السلطات الجزائرية ضغط للتطبيع مع الكيان الصهيوني لتغيرت وجهة نظر انصار مقولة فلسطين ظالمة او مظلومة ....دوام الحال من المحال ..,1
37,الله يعطيك الصبر يا خالتي دوجة على قد محبته ويرحمه برحمته انه ارحم الراحمين يارب طفي النار لشعلى في قلب خلتي دوجة وعوضها يارب بحجة لبيتك الحرام وتعمل عليه عمرة مقبولة يارب,2
38,خبثك مثل الحرباء تبدل لونها كما تشاء واتعجب مزلتم تتكلمون في قاعة الحفلات كالعراىءس اخرج الي شعب حتي تعرف وزنك ووزن حزبك خائن,0
39,ياحوجي لبلاد راحت,0
40,حصة، topppp 😍😍😍😍,2
41,سبحان الله. واش هاد التمسخير وممبعد يقولو علاه الفن ولا عفن. لا تضحك لا تبكي تزيد الغمة برك تافهة. الكوميديا راحت مع عثمان عريوات وبيونة وصالح اقروت ماشي كيفا هادو التبهليل,0
42,عندك الحق الجمعيات يحبو يدو الشهره والصدقات و المحتاجين تع صح مايشوفوش فيهم حسبنا الله و نعم الوكيل فيهم,0
43,Imam hada mounafik,0
44,ربي يرحمو ووسع اعليه خالتي دوجة و يجعله من اصحاب الجنة ربي اصبرك انشاله,0
45,منزوخش عليكم بصح هذاك جاري,1
46,الطفل فنان موهبة حقيقية 💖💖💖,2
47,واش من اتصالات راهي انفصالات الجزاير كذب في كذب,0
48,لي شافت رحها سمينة وباغيا تتزوج تروح لقناة سميرة تنقص من وزنها و تلقى راجل تتزوجو,1
49,فاليذهب هذا المجرم الى جهنم و بئس المصير,0
50,حبيت نسقسيك خويا هل علم الاحياء يعني البيولوجيا من العلوم لي يطليو فيها 90% ؟؟,1
51,تهانينا أيها البطل الشجاع مزيدا من النجاح و التوفيق 👍👍👍👍👍👍👍👍👍👍,2
52,و يجي مسؤل سراق وخبيت يقول بلد العز والكرمة .وانا نقول بلد الهربة لمن استطاع,0
53,نكمها بلاد زبي هاذي,0
54,دوك تزعف منك شيطانا مقلشة 🤣🤣🤣🤣🤣,0
55,Moh milan خرجيت عليك البسا كي كنت صغير,2
56,صحفية بغلة قالت عليها راهي فخبر كان اخشمي,0
57,900 مليار سنتيم كونيناف نهب من الجزائر 64 الف مليار سنتيم يا حبايبي,1
58,واش تنصحني خويا نشريه ؟مليح ولالا تعيش خويا جاوبني ؟,1
59,الله يبارك ربي يحفظك ويشدلك في,2
60,Allah yarahmou ou yesbar waldih,2
61,Ben brim a toujours été ma préféré  j aimerai bien goûter ses plats  Je t embrasse très très fort madame je vous admire ❤❤❤,2
62,اللهم اشفى صدوركم وينصركم بحق لا اله الله محمد رسول الله😢,2
63,تحية كبيرة للاستاذ يتكلم بهدوء اوعندو خبرة,2
64,علاه مدرتلناش مراجع ل أيفون 11 برو ماكس واكا راهو عندك ماك خاسر والو  لي بغيه يدرلنا مراجعة تاع أيفون11 برو ماكس يدير👍جام,1
65,طورو الاقتصاد لتصبح بلادنا قوه اقتصاديه هدا هو المهم,1
66,فور احلى شاف لي معندهش لاكرام شايدير,2
67,hhhhhhh wlh ghir da7ktni had la9ta w hsnawi idahk hhhh___mdr,2
68,ابداع لكن لاسف لستم من عاصمه باش يدعموكم,1
69,وعلاه نتي عندك قيم يا الكذب نحي الماسك برك ام كامل يعرفوك ههههههههه,0
70,هذا الآثار تبين بالدليل ان الامازيغ لم يأتوا من الشرق كما يروجون بل الانسان انطلق الى بقاع العالم من شمال أفريقيا.,1
71,المسلسل الجزء الثاني,1
72,افتخار كبير لي أمير دزاد 👑,2
73,Ain mlila 04 حول,1
74,يارخاس كي طاح راكم تهدرو عشرين سنة وانتم طبلو,0
75,شكون ليتفرج فيها في زمن كرونا,1
76,تفرجتلها مسلسل واحد أصبحت رقم واحد في جزائري هههههه يحسرااااه روحي برك سڨمي شعرك باسكو مخرجش عليك من لخر,0
77,ربي يخليكم رجال,2
78,أنا راني في شعال من سنة ما فوطيتش هذا المرة نفوطي إن شاء الله و على نكاز.,1
79,لااعلم لماذا انشناين اسمه يشبه الشيطان,1
80,ديروا ربورتاج على شكيب خليل و السعيد وووو الجنرالات لي هدموا بلد ودمروا أجيال يا قنوات الرخس والخماخ ،،،،، تحية لأهل الصحراء,0
81,يا لمبعر قرعج عليه مليح..... بلاك تلقاه وليد الشوفرولي 😂,0
82,ههههه فرق كبير بين صوت فيصل و جلطي هنا يبان تاع روبتيك   جلطي هارب بزاف,2
83,المندي طبخه يمنيه حضرميه مو سعوديه,1
84,سـندريلآ 😂😂😂آول مـرآ نسـمـع بيهآ,1
85,ربي يحفظك ويسترك وليدي أمير دزاد ديما راجل واقف و ديما عقابهم,2
86,كل الاحرار يتطلعون لنصره الجزائر والجزائر ترجو نصرتا من الله واولادها,2
87,شكرا أستاذ على هذه جمل الراقية و محفزة,2
88,ربي يفرج عليك خويا,2
89,كاين الصحة و السكنة هما الأساس ✔️✔️,2
90,رحمه الله عمي القايد صالح وغفر الله له ولوالديه ولجميع المسلمين والمسلمات. 🇵🇸🌻🇩🇿💪🏽💪🏽💪🏽,2
91,slm ! ana ndiya3 bzzzzf l wa9t w ana nkhmem wela nchuf f l'youtube o ki ne9ra man7asch ya3ni beli sah 9rit !!!!! t3ich khoya ansa7ni !o rabi ya7fdek o ykun m3ak !,2
92,الله يرحمو ويغفر له ويسكنه فسيح جناته ويلهم أهله الصبر والسلوان يارب العرش العظيم,2
93,هههههه خلاص والله ماقدرت بالظحك روووعة روووعة,2
94,والله شرحك اسطوره بحبك والله😍😍😍,2
95,اسطورة❤,2
96,يعطيك صحة خويا فارس,2
97,اريد اوبوا بتع البصمه كبيير الحجم,1
98,كلام تافه . هههههههههه هههههههههه,2
99,Ya rabi twalilhom bnthom hdik hiya frhthom Khir mskna rabi nchlah yrj3lhom,2
100,Rabi ykhlashoum,1
101,بارك الله في كل ضمير مصلح لوطنه و شعبه,2
102,هذا كلب لازم يتعاقب أشد عقاب وربي يحفظ مول الحادث,1
103,اول تعليق منظر رااائع,2
104,وهذا الشيخ المجاهد دار اتفقية مع روسيا و استسلم مثل امير عبد القادر,2
105,جايحين يخي حتى اميرة ريا اللي كنت دايرتها واعية الله يهدينا,0
106,مونتاج شبااب⁦🇩🇿⁩⁦🇩🇿⁩⁦🇩🇿⁩⁦🇩🇿⁩💪,2
107,شكرا يا أستاد،الأستاد كورتل يأمن بالصراحة،المطق،سواء رجل أو إمرأة،،،،،هذه الأخت المختصة بعلم النفس...راهي غير تخرط،،،،،،،،أولا ليس لها حق أن تقول لها أنا فاهماتك،أنت ليس لك مستوى غلمي لهذا ليس لك مكان في المجتمع،هنا أنها حطمت كل واحدة لم تدرس،وقالت كذلك أنا أنثى أتفهمك،،،،مختص في علم النفس لا بد أن يدرس الحالة ويعالجها دون أن يميل لطزف مهما كان،المحامي قد صدق فيما قال،نعم فيه نساء تحشيها للشيطان,0
108,شكرا لكل الأساتذة اللذين علموني خاصة أساتذة الابتدائي العربية الأستاذة ربيحة و الفرنسية madame larabe في مدرسة 19 جوان بالبليدة,2
109,أخي محمد انا تحصلت على معدل قريب جدا من تخصص بصح ماعطاوهليش أسكو نقدر نعاود نسجل فهاد السيت تاع التحويلات ولا راني غي نطلڨ,1
110,كانت تقلهانا أستاذانتاعنا,1
111,السروال و الفيزون و الرجل فوق الرجل و يتكلمو ويناقشو في موضوع التربية .. !,0
112,كي تاع جونيف سويسرا,1
113,في دول الغرب تفاجىء المريض لما عادت اغلبيت الطاقة الطبية المتقاعدة لمساعدت الجيش الابيض لمحاربت الوباء هو كان هجوم غير منتشر و انتشر بغير نضام و السلطة ليس لها خاتم سليمان مهما كل الإمكانيات الحديث و لكن الوفيات بالمئات  نحن في الجزاير الحكومة الشرعية الحالية ورثت السلطة في اسوء حالة و لابد بمساعدتها لبناء الجزاير الجديدة نحمد الله هو المستعين نحن كنّا على شفى حفرة لولا قادة الجيش الشعبي الوطني لوقعنا في كارثة بشرية و بسبها المعارضة المزيفة و الحكومة السابقة المجرمة و الذي معضم أعضاءها الان في السجون بعد محاكمتهم على النهب و استغلال المناصب و الفساد  مند عشريين سنة و هم يعالجون في الدول الغربية و المواطن الضعيف يعاني في صمت ✍️🇩🇿,1
114,rabi m3ak khouya ma3ndi manahdar hamdoulilah jatak salamat khouya,2
115,لله يبارك و لله درتلنا كوراج,2
116,Respect. From BZ👏,2
117,يا الحنونة ربي يرزقكم الصبر. ربي معاكم. هو طير في الجنة أنشأ الله. و انتم ربي يعوض اعليكم و ا يصبركم يا رب.,2
118,افضل اغني تحي الغرب,2
119,😂🤣🤣 مانيش انا لي نروح للسينيما السينما تجيني للدار 🤣🤣 ربي يحفظكم رانا معا الحجر الصحي والله قتلتني بالذحك🤣,2
120,تفوه على وجهك كذاب و متحشمش,0
121,ما شاء الله عمل رائع يعطيك الصحة😍,2
122,ربي يسعدك اغنيه بالوجع تحيه الكم اهل الجزائر الاسلاميه من اليمن ربي يسعدكم,2
123,Tozzzzzzz roseya machi ihode dezayar 5awana,0
124,ياخي الرخس يقلعوا الخاطر زبل والله المعدة تاعي قلبوها لي ماسخين تفووووا,0
125,والله عينا تتدمع عليك يا لبنان انتم ناس طيبيين و تستحقو اكثر واكثر ربي يحفظكم,2
126,رضا رنا فخورين بيك و ميمتك ربي يرحمها انشالله و اكيد تكون راضية عليك لانها خلات ابن بار مثلك يدعيلها و يتفكرها الله يهديكم رضا حزين و نتوما تضحكو و الله ماتت القلوب لا حول ولا قوة الا بالله حسبنا الله ونعم الوكيل,2
127,ان شاء الله عن قريب ينتهي هذا الوباء و تبدأ الحياة من جديد,2
128,طريقة الشرك والعياذ بالله لذلك لن ننتصرو ا,0
129,مشاء الله ربي يحفظكم ويخليكم لبعضاكم وهذي عبرة لشبابنا الذين يتغنون بالفتات الاجنبية ويقذفون البنت الجزائراية 🇩🇿تحيا بنت بلادي برافو,2
130,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,2
131,تاع حميد تشبه لتاع ديزاد جوكر نون ؟؟ La voix,1
132,"Il est où l’atelier , adresse, téléphone svp",1
133,بارك الله فيك روح المسؤولية راك شرفتنا اولاد الجزائر الشرفاء,2
134,تحراش راه فيهم وهوما يحرشو بناس كي شغل محلبين اك فاهم ...خخ,0
135,منال حدلي وشعال نحبها يا عمري فنانة ناجحة فالمجال الفني والعلمي ⚘😍😙😚🌷⚘❤❤❤❤❤,2
136,استادنا الكبير تحية لك,2
137,واش بيها لڨجر هاذيك تاكل في روحها 😒😒,0
138,يا اخي اشرح لي ظاهره الهلال والنجم فالقمر يا اخي ليس كوكب فهو قرص شفاف وانا رأيت بنفسي هذه الظاهره ولو كان القمركوكب بماءها النجوم بجانب القمر وهذا الحديث الذي تقوله لا يمكن ان ناخذه كدليل فالغرب وناسا بالتحديد معروفين بالكذب فلا يمكن تصديقهم,1
139,التافهين الله لا يربحكم، حصة فاشلة من كل النواحي سياسة ملء الفراغ لا أعمال فنية محترمة ولا ممثلين محترمين...دخلتو بيوتنا و حابين طيحو القدر بكل الطرق، خماج,0
140,jadore bon continuation salem men annaba,2
141,قسنطيني معظم الجزائريين لا يتقون في كلامك لا تنسى انك من المطبلين للعصابة,0
142,مشاء الله عليك ربي معاك,2
143,هاديك مقدمة بصوتها لخشين تقول راها دابز طلعو نيفو شوي,0
144,نتوما فوووووور في اليوتيوب,2
145,Amazing acting guys .. keep going,1
146,مبروك عليكم والله فرحتلكم من صمصوم قلبي😍😍😘😘😘,2
147,ربي يشفيه. ااظغط يولد الانفجار.,2
148,تحيا البلومبي وين كان الطبيب يقولك حل فمك 200الف قالك هاذاك بقرايتو والبلومبي كي يشعلو الشاليمو واحد ما يشوف عندو يقولك داخلة فالخدمة,1
149,الله يبارك ماشاء الله و يماها تبان عاقله,2
150,قرقور خير منها,0
151,انا من بني حواء و لي قلتيه مشي صح احنا خير منك وبنات بني حوا ساترين خير منك اذا حنا عايشين تحت الارض انتي راكي نقرضتي من زمان يا ديناصوور ... مشي هكا يندار الخير . انتي راكي دايرة شر في روحك كيفاش ديري لخير فالناس 😡😡😡,0
152,الف وخمسۃ مٸۃ ملیار دولار سایككحونها اجلا او عاجلا وان لم نلحق بیهم واخذهم الله الی جهنم سانلاحق بعد ذللك اولادهم اولاد اولادهم وسایحسبون,0
153,نعيمة عار ابوهة عدوة الأمازيغ عمها صالح ذهرغير صالح و هو اكبر فاسد,0
154,اول خطرا نشوف مرأة مثقفة و تهدر رزينة و تعرف شرع ربي مشاء الله ربي يحفظك والله دي يبهدلوها بهدلتهم ههه,2
155,ديما شكور,2
156,ما تقتربوش من التلاميذ اشرحوا الدرس في السبورة و أخرجوا و اتقوا الله في انفسكم جزاكم الله كل خير,1
157,Abdou ...la classe Khoya,2
158,مشاء الله ألف مبروك لللجميع,2
159,خويا واش رايك ف A51 ؟؟؟,1
160,شكرا جزيلا لك من القلب دكتور قسوم 😊,2
161,والله غير نتا هايل,2
162,اليدي لي فيها تيلفون نشالله تماس الكعبة,2
163,ومن قال انك لست براقص ...انت راقص ومحترف,2
164,مشاء الله و ربي يبارك فيه.ربي يقدرنا على فعل الخير إنشاء الله,2
165,ربي يخلك,2
166,العرايس تاع اليوم تستغل عجوزتها وتستغل لوستها من جميع الجوانب ماديا ومعنويا عندمايكبروا اولادها ادور على رجلها وخوتتو اللي خرجوها من الغرقة,0
167,كريم من الشرق وناس الشرق زعماء,2
168,واش علاقتكم بالتحليل الرياضي,1
169,لاحول ولا قوة إلا بالله ظلم في هد الحكم الدياب الأزرق بهدل الشعب الجزائري يستحمرنه الله يخد فهم الحق,0
170,كيدهم في نحورهم انشاء الله، نطلب من دولتنا ان تفصل هذا العدو عن الجزائر نهائيا ، إنه عدونا اللدود احذروا منه ولا تسمحوا له بالاقتراب من أرض الشهداء.,1
171,هه يضحكوني المغاربه ايي شي يخص فن الجزائري يقلولك راكم تقلدو فينا,1
172,ام وليد روعه نبغيها بزاف 😍😍😘😘😘,2
173,اخخخخخخ,1
174,قالك عاشور العاشور صرفو عليه 30 مليون,1
175,رشحت قناتكم الرائعة لإبن عمي بالأمس,2
176,وغاني مهدي جاء من لخارج علاه مهدرتش عليه راك تابع لجماعة الكاشير في دزاير مسلمين ويباتو ينيكو ف ملاهي وتحاسب في واحد عاش في خارج مهم مشروع تاعو شخصية كل واحد ياحاسب وحدو علاه مهدرتش واش قرى وبلي مسرقش مداش دورو من دزاير يا واحد الحركي خاب ضني فيك تحيا نكاز,0
177,هل هذه الكتب مترجمة للعربية؟,1
178,حشاني روح تعطي,0
179,هدا تمسخير ماش قراية,0
180,الله يحفظك، الاعتذار من شيم الكبار,2
181,زين عامر وين يروح يتبهدل هههه,1
182,تعرف باب الواد,1
183,عقداش يبدا,1
184,مصنع 40 مليار لازم ياكلو معاك 400 مليار,1
185,نقش ميتافيزيقي هههههههه الأقرع الكذاب,0
186,اني والله عندي عقده انكليزي ورياضيات,1
187,Respect madame.,2
188,ماشاء الله تبارك الله اللهم اجعل القراءن ربيع قلوبنا ونور صدورنا وجلاء أحزاننا وذهاب همومنا,2
189,يااااه يالغة القرآن بدلوك برخيص الله المستعان,0
190,ياولدي كلاونا و كيلهم ربي و خلاص,0
191,مسكين ماقالش هاد الهدرة كدبو عيه,0
192,داروه مونتاج,1
193,فتحي غراس نابغة,2
194,تحيا الشفافية ملخر وتحيا الجزائر تحيا الجيش الوطني الشعبي المجد و الخلود لشهداءنا الابرار وعقدنا العزم ان تحيا الجزائر ❤🇩🇿💪,2
195,"يجيبولنا غي النقوشة والقحاب فTv,, رّب العالي لحمي تشوك، فن وإبداع وسيناريو كارثة، short film لخص الحكاية وميساج واعر بزاف لي يفهم وعاش داك الوقت،، رباااني ،، بلاد نمي ،، والله تقول هولويود، يعني امكانيات ولو انها قليلة ،لكن الفكرة كبيرة يا صديقي ، الحمد لله كاين يوتيوب والناس راها تبدع وترسل افكار واعمال رائعة،، لكان جات على الحكومة لقتلت كل الشباب ؟؟؟؟!  للأسف الشديد ،،،وما أخفي أعظم؟",0
196,جابوه للزنق و الطرق المهريا,1
197,ولله المرأة هاذي صنديدة صح مسكينة الدمعة طيحتهالي وباين فحلة وبنت فميلة ربي يكثر من مثالها,2
198,Félicitations pour ton diplôme,2
199,الى الجحيم كل هذا كلام فارغ الله لا يربحكم مشات عصابة وجاءت عصابة اخرى اجوع,0
200,وين في سكيكدة حط الثلج نورمالمو اولاد احبابة هي اعلى ارتفاع في وبلاية سكيكدة مكانش فيها ثلج البارح,1
201,هاو هاو هاو نبحو الكلاب اتركت المنافقين والكدبين المغرب كتسكم زعمو تربح ربحا استرجع الصحرا الشرقية المغرب من الجزاير المحتلا,0
202,روح تعطي الجيش وقيادته راهم متفاهمين كيما يقول المثل المصري سمن على عسل وربي يشفي رئيسنا,0
203,خوياا تعيش جاوبنيي ضك انا عندي بكالوريا2019 وسجلت وقريت شهرين ابري مكملتش شغل ابوندونيت وعاودت الباك مي جبتو قل ... ضك انا خفت كون منسجلش بالباك الجديد يروحلي مكاش علابالي بلي يقعد سما دخلت للموقع خيرت تخصصات على اساس نسجل ونبلوكي ونكمل بالباك القديم مي كي قلتلنا الباك كون متسجلش يقعدلك ندمتت كي سجلتو كون منأكدش الرغبات تتسجل اوتوماتيكمو ولا منتسجلش ؟؟,1
204,هاذ.كله.بسبب.البعد.عن.الدين..قال.رسول.الله..الحمو.الموت..الحجاب.تطبيق.الشرع..كيف.لاخيك.ان.يدخل.الى.البيت..ويتكلم.ويضحك.ويزعق.مع.زوجتك..في.وجودك...ها.هو.الخطء,1
205,يسما رانا عايشين مع خونة بلاد خرطي,0
206,إسلام عليكم انا حقنت واستنه النتيجه بعد أيام وريت اني أخذ جوارب من بنت اخي وارتديهن ماتفسيرها علمن ان الجوارب بيض ومرسمه بكحلي,1
207,zidou dirona les video te3 les challenge,1
208,3la 7sab wch 3nd material nrmlmnt t5dm montage ma 5ir bl bzzzf  But it's ok bro tt3lm w tzid m3a el w9t,1
209,تحيا الجزائر وربي يحفظ الجيش الوطني الشعبي,2
210,والله متحشمو,0
211,بصح في طاليان يطيبو بي زيت الزيتون,1
212,الحراك ثم الحراك ثم الحراك,2
213,دخلك إيه في الجزائر يا طرطور,0
214,ربي يفرج عليك حبيبنا و انشاء الله ربي يعوضك فدراهمك أنا 37 سنة والله مانعرف مليار كيفاش داير فمابالك 40 مليار,1
215,هههههه فور ربي يكمل,2
216,هاهي التربية قالو أسكت,0
217,مما يبدو انه سيتم اطلاق سراحهم جميعا بالتسلسل. و سيرد لهم اعتبارهم. و ستطوى احداث المسرحية. لحين ترفع القضية لقاضي السماء الذي لا يظلم عنده احد ولا تنطلي عليه اي حيلة دستورية او مادة قانونية من القوانين الجائرة. فحسبنا الله و نعم الوكيل و كفى بالله قاضيا و آخذََا بالحق,0
218,بارك الله فيك خويا ربي يحفظك الجهاد الحقيقي قادم ان شاء الله في الميدان,2
219,الله يرحمه ويوسع عليه شوالا حتى الشيرات ولاو يقتلو نورمال حمبوك تجي تخمم عقلك يحبس 😭😭,0
220,عدولة يقتل بالضحك يخطيكم راحت لميسيو,2
221,اختك علي بن علي,0
222,كون ماجيناش فسيدي رمضان نوريك حسبي الله ونعم الوكيل وجه الذل.,0
223,والله راك خارج النَص على طول. اللي غلط يخلص نقطة الى السطر. يا بن قصديرة...هذو راهم خربو البلاد لمدة 20 سنة..والله انهم أخطر من الارهابيين القتلة. افهم يا راس القصديرة يا المصنن 😁,0
224,من الاخر هذا مجرد مسلسل 🤐🤐🤐,1
225,"لماذا يعشق التحدث باللغة "" القاورية"".لو يتحدث باللغة العربية أو الأمازيغية دون سواهما لكان افضل. أتمنى ذلك.",1
226,al djabha lazam twali mounathama li koul aldjazairiyin li al amri bi al maarouf wa nahyi an al mounkar fiha koul al khayirin taa al djazair khassatan al moutakaidin min kouli al fiat li tarbiyat wa taslim alkafaa fi djamia al madjalat bi al madjan dakatra mouhandissin moualimin tabakhin wa wa koul al maarif li chabab machi thad kouthrat al djazairiyin,1
227,لازمه الإعدام في ساحة عمومية,0
228,Merci a toi monsieur le Président rebie yehfdek nchalah tu et le per de tou les algerien bon courage à toi rebie i9edrek nchalah,2
229,جربتها جات هايلة يعطيك الصحة يا أم وليد كل وصفاتك يخرجولي ناجحين 100% ويحمروا الوجه,2
230,تحياتي أستاذ العربي ربي يحفظك,2
231,القناة الوحيدة في الجزائر التي تملك محتوى هادف و ذو معني لكنها محڤورة ⁦🇩🇿⁩,2
232,رخيس شحال عطاك باش تشيتيلو.......رخيس عندو لسان طويل يدافع بيه على روحو,0
233,تبون مزور جابوه العسكر ماكنش الشرعية والشعب تحرر هو ليقرر دولة مدانية,0
234,حوجي يانا قاتلو فياغرا الخامجة هادي نحوها منا,0
235,اللهم صن الجزائر و شعبها,2
236,الله يعطيكم البخص من وجوه البخص شوادة,0
237,في السويد معليش؟؟,1
238,اواه يا سي ميلانو المرا ماراهيش شيكورا ، العكس راهي مرمدا و تاكل من الزوابي .,2
