Unnamed: 0,text,label
36,علم دائ وجه خدم جند علي سلط جزر ضغط طبع كين صهو تغر وجه نظر صار قول لسط ظلم ظلم دوم حال حال,1
37,الل يعط صبر خلت دوج حبت رحم رحم انه رحم رحم يرب طفي نار شعلى قلب خلت دوج وعض يرب بحج لبت حرم عمل عمر قبل يرب,2
38,خبث مثل حرباء بدل لون تشء عجب مزل كلم قعة حفل عراىءس خرج شعب حتي عرف وزن وزن حزب خئن,0
39,يحج بلد رحت,0
40,حصة topppp,2
41,سبح الل هاد سخر مبعد قولو عله الف عفن تضح تبك تزد غمة افه كوميد رحت عثم عرو وبو صلح قرو اشي كيف هدو هلل,0
42,لحق جمع حبو يدو شهر صدق حتج صح مايشوفوش حسب الل وكل,0
43,imam hada mounafik,0
44,ربي رحمو وسع اعل خلت دوج جعل صحب جنة ربي صبر شال,0
45,منزوخش بصح جري,1
46,طفل فنن وهب حقق,2
47,تصل رهي فصل جزير كذب كذب,0
48,شفت رحه سمن وبغ تزج ترح لقن سمر نقص وزن لقى رجل زوجو,1
49,ذهب جرم جهنم بئس صير,0
50,حبت سقس خوا علم حيء ولج علم طلو 90,1
51,هني بطل شجع زيد نجح وفق,2
52,يجي سؤل سرق وخب يقل بلد لعز كرم ونا نقل بلد هرب لمن طاع,0
53,نكم بلد زبي هذي,0
54,زعف منك شيط قلش,0
55,moh milan خرج بسا صغر,2
56,صحف بغل قلت عليها رهي خبر خشم,0
57,900 لير نتم كونيناف نهب جزر 64 الف لير نتم حبيب,1
58,نصح خوا نشر ولل تعش خوا جوب,1
59,الل يبر ربي حفظ شدل,2
60,allah yarahmou ou yesbar waldih,2
61,ben brim a toujours été ma préféré j aimerai bien goûter ses plats je t embrasse très très fort madame je vous admire,2
62,لهم شفى صدر نصر بحق اله الل حمد رسل الل,2
63,تحة كبر ساذ كلم هدء عندو خبر,2
64,عله مدرتلناش رجع ايف 11 برو اكس وكا رهو ماك خسر ولو بغه درل رجع ن11 برو اكس ديرجام,1
65,طورو قصد صبح بلد قوه اقتصاديه هدا مهم,1
66,فور حلى شاف معندهش كرم شايدير,2
67,hhhhhhh wlh ghir da7ktni had la9ta w hsnawi idahk hhhh___mdr,2
68,بدع لسف عصم دعمو,1
69,وعل قيم كذب نحي اسك ام كمل عرفو ههههههههه,0
70,اثر تبن دلل ان ازغ يأت شرق يرج انس طلق بقع علم شمل فرق,1
71,سلسل جزء ثني,1
72,فخر كبر امر دزد,2
73,ain mlila 04 حول,1
74,رخس طاح ركم هدرو عشر سنة وان طبلو,0
75,شكن فرج زمن كرو,1
76,رجتل سلسل صبح رقم جزر ههه يحسرااااه روح سڨم شعر سكو خرجش لخر,0
77,ربي يخل رجل,2
78,رني شعل سنة طيتش مرة نفط شاء الل نكز,1
79,علم لمذ شنا اسم يشب شيط,1
80,دير ربورتاج شكب خلل سعد ووو جنرال هدم بلد دمر جيل قنو رخس خمخ تحة أهل صحراء,0
81,بعر قرعج بلك تلق ولد شوفرول,0
82,ههه فرق كبر صوت يصل جلط يبن روب جلط هرب بزف,2
83,ندي طبخ يمن حضرم مو سعد,1
84,سـندريلآ اول ـرآ ـمـع يهآ,1
85,ربي حفظ ستر ولد امر دزد ديم رجل وقف ديم عقب,2
86,حرر طلع نصر جزر جزر رجو نصر الل ولد,2
87,شكر ساذ جمل رقي حفز,2
88,ربي فرج خوا,2
89,صحة سكن اسس,2
90,رحم الل عمي قيد صلح غفر الل ولوالديه جمع سلم سلم,2
91,slm ana ndiya3 bzzzzf l wa9t w ana nkhmem wela nchuf f lyoutube o ki ne9ra man7asch ya3ni beli sah 9rit t3ich khoya ansa7ni o rabi ya7fdek o ykun m3ak,2
92,الل رحمو غفر ويس فسح جنت ويل اهل صبر سلو يرب عرش عظم,2
93,ههه خلص ولل اقدر ظحك روووع روووع,2
94,ولل شرح سطر بحب ولل,2
95,سطر,2
96,يعط صحة خوا فرس,2
97,ارد اوب بتع بصم كبيير حجم,1
98,كلم تفه هههههههههه هههههههههه,2
99,ya rabi twalilhom bnthom hdik hiya frhthom khir mskna rabi nchlah yrj3lhom,2
100,rabi ykhlashoum,1
101,برك الل ضمر صلح لوط شعب,2
102,كلب عقب اشد عقب ورب حفظ مول حدث,1
103,اول علق نظر رااائع,2
104,وهذا شيخ جهد دار تفق روس سلم مثل امر عبد قدر,2
105,جيح يخي مير ريا الل دير وعي الل يهد,0
106,مونتاج شباب,2
107,شكر استادالأستاد كورتل يأم صراحةالمطقسواء رجل امرأةهذه اخت ختص علم فسر تخرطأولا حق تقل فاهماتكأنت ستى غلم لهذا جمع انه حطم تدرسوقالت نثى اتفهمكمختص علم نفس بد درس حلة علج يمل طزف كانالمحامي صدق قالنعم نسء تحش شيط,0
108,شكر لكل ستذ علمو خصة ستذ بدئ عرب اذة ربح رنس madame larabe درس 19 جون بلد,2
109,اخي حمد حصل عدل قرب جدا خصص بصح ماعطاوهليش سكو قدر عود سجل فهد سيت حول رني غي طلڨ,1
110,كانت تقل استاذانتاع,1
111,رول فيز رجل فوق رجل كلمو قشو وضع ربي,0
112,جونيف يسر,1
113,دول غرب جىء ريض عدت غلب طقة طبة قاعد سعد جيش ابض حرب وبء هجم نشر نشر بغر نضم سلط ختم سلم مكن حدث وفي ئات جزير حكم شرع حلي ورث سلط اسء حلة لبد سعد بنء جزير جدد حمد الل ستع كنا شفى حفر قدة جيش شعب وطن وقع كرث بشر بسب عرض زيف حكم سبق جرم عضم عضء الن سجن حكم نهب غلل نصب فسد مند عشر سنة علج دول غرب وطن ضعف يعا صمت,1
114,rabi m3ak khouya ma3ndi manahdar hamdoulilah jatak salamat khouya,2
115,لله يبر لله درتل كوراج,2
116,respect from bz,2
117,حنن ربي رزق صبر ربي طير جنة نشأ الل نتم ربي يعض اعل صبر رب,2
118,فضل اغن تحي غرب,2
119,انش نرح سين سين تجي دار ربي حفظ معا حجر صحي ولل قتل ذحك,2
120,تفه وجه كذب حشمش,0
121,شاء الل عمل رئع يعط صحة,2
122,ربي سعد اغن وجع تحه لكم اهل جزر سلم يمن ربي سعد,2
123,tozzzzzzz roseya machi ihode dezayar 5awana,0
124,يخي رخس قلع خطر زبل ولل عدة قلبو اسخ فوو,0
125,ولل عين دمع لبن نتم ناس طيب حقو كثر ربي حفظ,2
126,رضا رنا فخر يمت ربي رحم شلل اكد تكون رضي لان خلت ابن بار ثلك دعل فكر الل يهد رضا حزن نتو ضحكو الل اتت قلب حول قوة الا بلل حسب الل نعم وكل,2
127,ان شاء الل قرب نهي وبء بدأ حية جدد,2
128,طرق شرك عيذ بلل لذلك صرو,0
129,شاء الل ربي حفظ يخل بعض وهذ عبر شبب يتغ فتت جنب قذف بنت جزائراية تحا بنت بلد رفو,2
130,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,2
131,حمد تشب لتع ديزاد جوكر نون la voix,1
132,il est où latelier adresse téléphone svp,1
133,برك الل روح سؤل شرف ولد جزر شرفاء,2
134,حرش وهو حرشو بنس حلب اك فهم خخ,0
135,نال حدل شعل نحب عمر فنن نجح جال فني علم,2
136,ساد كبر تحة,2
137,بيه ڨجر هذي تكل روح,0
138,اخي شرح ظهر هلل نجم قمر اخي كوكب فهو قرص شفف ونا رأت نفس ظهر قمركوكب بمء نجم جنب قمر وهذا حدث تقل يمكن ان نخذ كدليل غرب ونس حدد عرف كذب يمكن صدق,1
139,تفه الل ربح حصة فشل نحي سيس ملء فرغ عمل فنة حرم مثل محترميندخلتو بيت حاب طيحو قدر بكل طرق خمج,0
140,jadore bon continuation salem men annaba,2
141,قسنط عظم جزر يتق كلم نسى انك طبل عصب,0
142,شاء الل ربي,2
143,هدي قدم بصت لخش تقل رها دبز طلعو يفو شوي,0
144,نتو فوووووور تيب,2
145,amazing acting guys keep going,1
146,برك ولل رحتل صمصوم قلب,2
147,ربي يشف ظغط ولد فجر,2
148,تحا ومب طبب يقل حل فمك 200الف قلك هذا قرايتو ومب شعلو شاليمو يشف عندو يقل دخل خدم,1
149,الل يبر اشء الل يما تبن عقل,2
150,قرقور خير,0
151,بني حوء قلت مشي صح احن خير منك وبن بني حوا ستر خير منك اذا عيش تحت ارض انت ركي قرض زمن ديناصوور مشي هكا ندر خير انت ركي دير شر روح دير لخر لنس,0
152,الف خمسۃ مٸۃ لیر دولار سایككحون اجل عجل وان لحق یهم وخذ الل الی جهنم لحق ذلل ولد ولد ولد یحسب,0
153,نعم عار بوه عدة ازغ عمه صلح ذهرغير صلح كبر فسد,0
154,اول خطر نشف رأة ثقف هدر رزن عرف شرع ربي شاء الل ربي حفظ ولل دي هدلو هدل ههه,2
155,ديم شكر,2
156,قتربوش لمذ شرح درس سبر خرج اتق الل نفس جزا الل خير,1
157,abdou la classe khoya,2
158,شاء الل الف برك جمع,2
159,خوا ريك a51,1
160,شكر جزل قلب دكتور قسم,2
161,ولل نتا هيل,2
162,يدي يلف شلل تمس كعب,2
163,انك رقص رقص حرف,2
164,شاء الل ربي يبر هرب قدر فعل خير شاء الل,2
165,ربي يخل,2
166,عريس اليوم سغل عجز سغل لوس جمع جنب ماد عنو عندمايكبر ولد ادر رجل خوتتو الل خرجو غرق,0
167,كرم شرق ونس شرق زعماء,2
168,علق حلل ريض,1
169,لحل قوة بلل ظلم هد حكم ديب زرق هدل شعب جزر يستحمرنه الل يخد فهم لحق,0
170,كيد نحر شاء الل طلب دول ان فصل عدو جزر نهئ عدو لدد حذر سمح قرب ارض شهداء,1
171,هه ضحكو غرب ايي شي يخص فن جزر قلل ركم قلدو فين,1
172,ام ولد روع نبغ بزف,2
173,خخخخخخ,1
174,قلك عشر عشر صرفو 30 ملي,1
175,رشح قنت رئع لإب عمي امس,2
176,وغا هدي جاء خرج عله مهدرتش تبع جمع كاشير دزير سلم بتو يكو لهي حسب عاش خرج مهم شرع تعو شخص حسب حدو عله مهدرتش قرى وبل سرقش داش دورو دزير حرك خاب ضني تحا نكز,0
177,كتب ترجم عرب,1
178,حشا روح تعط,0
179,هدا سخر ماش قري,0
180,الل حفظ عذر شيم كبر,2
181,زين عمر يرح هدل ههه,1
182,عرف باب واد,1
183,عقداش يبد,1
184,صنع 40 لير كلو 400 لير,1
185,نقش ميتافيزيقي هههههههه قرع كذب,0
186,اني ولل عند عقد كلز ريض,1
187,respect madame,2
188,اشء الل برك الل لهم جعل قرء ربع قلب ونر صدر جلء حزن ذهب همم,2
189,ياا يلغ قرآ دلو رخص الل ستع,0
190,ولد كلو كيل ربي خلص,0
191,مسك ماقالش هاد هدر كدبو عيه,0
192,دره مونتاج,1
193,فتح غرس نبغ,2
194,تحا شفف لخر وتح جزر تحا جيش وطن شعب مجد خلد شهداء برر عقد عزم ان تحا جزر,2
195,جيبول غي نقش قحب فtv رب علي لحم تشك فن إبداع وسيناريو كرث short film لخص حكي يسج وعر بزف فهم وعش داك وقت ربا بلد نمي ولل تقل هولويود مكن انه قلل فكر كبر صدق حمد لله تيب ناس رها بدع رسل فكر عمل رئع لكن جات حكم قتل شبب اسف شدد اخف عظم,0
196,جبه زنق طرق مهر,1
197,ولل رأة هذي صنديد صح سكن دمع طيحتهالي وبا فحل وبن فمل ربي كثر ثال,2
198,félicitations pour ton diplôme,2
199,جحم كلم فرغ الل ربح شات عصب وجء عصب خرى اجع,0
200,كيكد حط ثلج نورمالمو ولد حبب على رفع وبل كيكد ثلج برح,1
201,هاو هاو هاو بحو كلب اتر نفق كدب غرب كتس زعمو ربح ربح رجع صحر شرق غرب جزير حلا,0
202,روح تعط جيش قيد رهم فاهم يقل مثل صري سمن عسل ورب يشف رئس,0
203,خوا تعش جوب عند بكالوريا2019 سجل وقر شهر ابر مكملتش ابوندونيت عود باك مي جبتو قل خفت كون منسجلش باك جدد روحل علابال بلي قعد سما دخل وقع خير خصص اسس سجل بلو كمل باك قدم مي قلتل باك كون سجلش قعدل ندم جلتو كون منأكدش رغب سجل اوتوماتيكمو منتسجلش,1
204,هاذكلهبسببالبعدعنالدينقالرسولاللهالحموالموتالحجابتطبيقالشرعكيفلاخيكانيدخلالىالبيتويتكلمويضحكويزعقمعزوجتكفيوجودكهاهوالخطء,1
205,يسم عيش خون بلد خرط,0
206,سلم حقن وست نتج ايم ورت اني اخذ جرب بنت اخي رتد ماتفسير علم ان جرب بيض رسم كحل,1
207,zidou dirona les video te3 les challenge,1
208,3la 7sab wch 3nd material nrmlmnt t5dm montage ma 5ir bl bzzzf but its ok bro tt3lm w tzid m3a el w9t,1
209,تحا جزر ورب حفظ جيش وطن شعب,2
210,ولل حشمو,0
211,بصح طلي طيبو زيت زيت,1
212,حرك حرك حرك,2
213,دخل جزر طرطور,0
214,ربي فرج حبب شاء الل ربي يعض درهم 37 سنة ولل مانعرف لير دير ابل 40 لير,1
215,ههه فور ربي كمل,2
216,ههي ربي قلو اسك,0
217,بدو انه يتم طلق سرح جمع لسل يرد عبر تطى حدث سرح لحن رفع قضة لقض سمء ظلم عند احد نطل حيل دستور ادة قنن قون جئر حسب الل وكل كفى بلل قاض اخذ لحق,0
218,برك الل خوا ربي حفظ جهد حقق قدم ان شاء الل ميد,2
219,الل رحم وسع شلا شير ولو قلو رمل حمبو تجي خمم عقل حبس,0
220,عدل قتل ضحك يخط رحت يسو,2
221,اخت علي بن علي,0
222,كون ماجيناش فسد رمض نور حسب الل نعم وكل وجه لذل,0
223,ولل خرج لنص طول الل غلط خلص نقط سطر بن قصديرةهذو رهم خربو بلد لمد 20 سنةوالله نهم خطر رهب قتل فهم راس قصدير صنن,0
224,اخر جرد سلسل,1
225,لمذ عشق حدث لغة قاوريةلو حدث لغة عرب امازيغية سوه لكن فضل منى,1
226,al djabha lazam twali mounathama li koul aldjazairiyin li al amri bi al maarouf wa nahyi an al mounkar fiha koul al khayirin taa al djazair khassatan al moutakaidin min kouli al fiat li tarbiyat wa taslim alkafaa fi djamia al madjalat bi al madjan dakatra mouhandissin moualimin tabakhin wa wa koul al maarif li chabab machi thad kouthrat al djazairiyin,1
227,لزم عدم سحة عمم,0
228,merci a toi monsieur le président rebie yehfdek nchalah tu et le per de tou les algerien bon courage à toi rebie i9edrek nchalah,2
229,جرب جات هيل يعط صحة ولد وصف خرجول نجح 100 حمر وجه,2
230,تحا ساذ عرب ربي حفظ,2
231,قنة وحد جزر تمل حتى هدف عني لكن حڤر,2
232,رخس شحل عطك تشيتيلورخيس عندو لسن طول دفع روحو,0
233,تبن زور جبه عسكر اكنش شرع شعب حرر قرر دول دني,0
234,حوج ينا قاتلو يغر خمج هدي نحو منا,0
235,لهم صن جزر شعب,2
236,الل يعط بخص وجه بخص شود,0
237,سود علش,1
238,اوه سي ميلانو مرا ماراهيش شيكور عكس رهي رمد تكل زبي,2
239,سبح الل حول قوه الا بلل راه عند مرض عقل اشي عندوش طفل يكل عضو لدو حيو قلب عند الل ستر صلة دعء خلي الل رزق يشء,2
240,عجب,2
241,خوت خيت يحب عرف وصف سعر هتف جزر هتف ايف سونغ شوم دخلو عند لقو جمع سعر هتف وصف نتع هتف,1
242,ضربو حبش ربو قلل,0
243,نوض تقر برك الل ساذ جزك الل الف خير,2
244,سلم بن عطة ثقف حرم رزن قمة صوت صوت ربي حفظ سوء تحا جزر غلي,2
245,ههههاضحك ولل قنة علم لقة قلم جدك نسب شهد ضئييييلة جدا قرن حرر جزر ثور جدد ماخرجاتش كنولوج رهي تعر,0
246,خوت دعل برى رجل مرض خطر ورب حفظ,2
247,ay ronya bazaf chaba chkoun romarkaha,2
248,سلم خوا جمل فدو الل يبر عجب بزف وزد هدرش اجي سمط وحن مبع ولف بصت نشط معو فدو هدا خاصتو درن ويل هبل حين مهم ربي يعط صحة زيد بدع,2
249,رب حفظ بلا دنا vous honorez lalgerie,2
250,يود غلق هدك برح بين انس اشي حرم,0
251,مانحملهاش هيم لصح قلب ومايريدبالباراكا,0
252,شكن,1
253,costume des annee 1856,0
254,ربي وكل ان شاء الل حقن اذا ماديناهش فدن ندو لخر حمدلل ربي سبح ردا شرا بلد ربي ستر بلد يحم وجه شر ان شاء الل,0
255,ربي اكن عون عيل وجد كثر مسا فرغ قرى دشر قرب برج لمذ بحث سكن ليق بد سكن قبر ناس ترد سكن دين,2
256,رب شعب ذلل حشمش شخص خسرول بلد,0
257,حيا الل حرر اخ دين فلي اذا خرق حرك جنح سمى ناش اشي بعد,2
258,ظهر فسد لبر بحر كسب ايد ناس يدق عملو لعل رجع,1
259,نكل يد اخ نرس ولل روع روع,2
260,comment ont peut marier une fille a 16 ans nimporte quoi,0
261,سمع صدف راديو دخل نشف زوي بزف حست بصح ماشفوهاش عشوهاش,2
262,لهم سأل الل احد صمد يلد ولد يكن كفا احد اشف شفي شفء الا شفك شفء غدر سقم غفر انك غفر رحم,2
263,2020 woow 3erfthoum kaml ms wlh mashi b sahel hfada w fhamaa w hmdulh,1
264,خوا انس ولل جيت وقت رني حاب نشر,1
265,عقل واضع سطع فهم حدث عنه ابن ولي كبر,2
266,سلم الل سي امر دز ةلل حفض شر اخك الل غرب,2
267,شحل صوت شبب الل يبر حلم,2
268,خوا ربي حفظ شلل صحيتو ولل رحل فالشبااب كثرولناا نهم بار الل,2
269,حول غرب رهم حرو,1
270,طير لحر يطح ميتخبطش وصي,1
271,قرب دير شوك احس نضف سكر ومندخلهش عسل يجي هيل,1
272,فرح رخس,0
273,ماشاءالله برك الل ام ولد وصف لكل هيل,2
274,poffffff la mejor,1
275,عند كلب لوك تبع هدر 5ملاير منبيعوش وتع لجدارمية داو بور هذي كبر كذب علم,0
276,شكر مجهوداتك ساد,2
277,نور الل قلب,2
278,برك حبب يتستاهلي انك شرك هذي قنة سمر tv وفق ان شاء الل,2
279,مرض كبر روحو عدو حقق يسج قوي ولي همو يكون وطن مثل بطل رحم الل بيه قضء حرك زوف رخس شكم وبل نزد اسم عند ديووووثي باع لدو باع دينو ولل كبر وتح جزر شمخ شمخ جبل,2
280,قصف ارض جو زال هدرو رهب لطو هههههههههه,0
281,عرض معك اول شبك فقط مثل شبك جيل ربع ثلث فقط جسس قلت لمر شري خدم ثان ليه شرك رفض لان كلف جدا حطو برج كثر قرب نسب منى وفر هالشب سرع خصه انه دبل 4 100 مره جرد وضح محد قدر يتح يخذ معلوماتك جلك حمي,1
282,khadmou bikoum al harka wsarakine bach aderou bikoum al fawoida,0
283,elle est très mignonnette et gentille mashalleh maroua,2
284,الل حفظ دكتور نضل,2
285,شكر دكتور منت وقت حلق تفد شكل كبر,2
286,رغم صوت رأة عور يجز ظهر فضي صوت ستى طلب وصت ثوي قرآ كرم بصت رجل خير,1
287,خصئ نفس تبا هبل قعد تبا خصك طبب لزم عرف حترم حور اشي زدم هدر ان شاء الل تكون اخر مرة نشف حصة,0
288,tozz ya mouzawirine ya diktatouriyine ya lehassine ya mouchawihine li tarikh el djazair wa tarikh fakhamate chaab wa 45 malioune djazairi moundhou 1962 ya oubad lcadre ya houkoumate el cocaïne ya oubad el ouhda4wa5 bidoune chariiya ya sarakine ya nehabine li tharawate el djazairiyine el hakikiyine el ahrar noubala ya el moustaamirine el djoudoud moundhou 1962,0
289,ولي خدم يوم يدر,1
290,روع,2
291,vive algérie et vive changriha et vive teboun et vive palestine,2
292,تحا جزير تحا جيش وطن شعب,2
293,درس قسي لمن يقم نصف ثور يعد بيت درس قسي لمن يثق جنرل درس قسي لمن صبر ثبر درس قسي لمن كرر نفس خطأ علم ارخ جزر مر ولت,0
294,bla bla bla chitane,0
295,ههه يخو هبل ههه الل برك ولد بلد يعط صحةرب وفق,2
296,مهم روح تعط,0
297,حكم رهب جنرل كوك نهب مال شعب ولد قحب,0
298,bonsoir amir je veux vous poser une question,1
299,دعل ندي باك قولو 40 دعة غرب جاب عيشو شاء الل,2
300,ارد وصف كرفاج فرن حوس عليها فاليوتوب ملقيتهاش زيد دير فضل,1
301,اه سي سمر نفخ روح ببا يفق تضح ذيك ضحك سمم لطف تدن تدن رآه زوج ولد,0
302,زطل رئس بلد قصب نهر قعد كرس زدش بان طحو عمر بزف ولل جا وشف ناس عانيو منو همش سكن قصب رحل عرف ان شاء لله حكم أخد هاد سرق لخا عين عبر,0
303,الل رهم يكو شعب عدي,0
304,جيت زوم,1
305,ربي رحمو جعل ثوه جنة ان شاء الل يرب,2
306,برك الل شيخ ثقت كبر,2
307,جيت اضح طلع,2
308,ترك صومال بكس دربيج قظر ولب جيبو ورس قوه,1
309,عيشو كتبول مقادير ريش عصر رتقال كيك بلا ميز عبر مش ڨرم تعييييشووو حبة جرب,1
310,هدا وشب,1
311,بسم الل اشء الل تخر ماينقص نهض بهذا وطن سلط ضوء صحب كفء منى وفق نجح قبل,2
312,طلب شحت شتق ركب طئر الل اذل لذل لرك,0
313,très bonne,2
314,ديرل رجع poco x3 nfc,1
315,ماجابوهاش رجل طببو نسا لعن الل قوم راس مرأ,0
316,وجي وحد شبة سهم شتم حول قوة الا با الل يرب احم طبئ,2
317,yawe kiwe,0
318,شرع رىع ربح,2
319,مافهمش فئد هذو ولل تبق دهش جهر عصة اذا بلي عصي ترو قنة شرق مشي انت زعمى قدم مزامير دود رني غلط خطر مخي حبس,0
320,حمدلل حمد كثر طيب برك بأس طهر شاء الل,2
321,واه بصح شفت شجعو بلج كونطر دزير يماشجعوناش كاس فرق كنو نغل قلب قلب سمع بود دزو حرز هدر لصح روحو قودو,0
322,خبر شعب ببع غاز لاسرائيل 2014,1
323,علم جزر يخف كلم غرب خار كلم خزن نتم علم غبي جهل يهد فضل عصب رهب قتل شعب جزر 10 ودء,0
324,عند كلم حمر سمع حمر صدق حمر أعلم جمع حمر,0
325,ددح اول كسل زدت دخل سمر مهم ربي وفق,1
326,برك الل شكر لاو شرط,2
327,قفل تسر ودئ كلب نبح جرت عدة,0
328,شاء الل تحا جزر وتح لمض نخب وطن شعب قهر فرق كسك كلومب,2
329,يعط صحة وصل كمل شعب كمل تفق كلم نهي مايتراجع مابقالهمش بزف خرج خرج,1
330,بنل خدم خبر رهم خرجو دعي وتب مات,0
331,مون منحبوهاش بزف,0
332,سبر يبا تم طلق ياب,1
333,شكر ولف شكر ربي حفض سمر,2
334,كلم يجب حال بذل جهد نجح,2
335,merouaaa khir manak wllah hram alikk ki khd3thaa,0
336,نسب عنو كلر 2020 كلر سطر تمز لهد سنة جدر واستحقاق تحة لكل تفق أتمنى نفع الل بلد عبد جعل دخر بلد تفق اول نسب هنة طير pilote ودل لرز نسب دبلوماسية ايض لنه اشء الل فصح لسن تفق ثني نسب هنة لطب ودل لأن حسس ادن تحس رضى تفق ثلث نسب ريض علم الي ودل لأن exact جبا,2
